FeatureCode,DateCode,Measurement,Units,Value,EnergyType,EnergyConsumingSector
S12000039,2014,Count,GWh,0,Coal,Rail
S12000039,2005,Count,GWh,596.866,Petroleum Products,All
S12000039,2018,Count,GWh,0.415,Petroleum Products,Rail
S12000039,2008,Count,GWh,0.022,Bioenergy & Wastes,Industrial
S12000039,2009,Count,GWh,0,Bioenergy & Wastes,Industrial
S12000039,2012,Count,GWh,505.058,Petroleum Products,Road Transport
S12000039,2013,Count,GWh,0,Coal,Rail
S12000039,2008,Count,GWh,527.604,Petroleum Products,Road Transport
S12000039,2006,Count,GWh,606.299,Petroleum Products,All
S12000039,2007,Count,GWh,0.427,Petroleum Products,Rail
S12000039,2019,Count,GWh,735.441,Gas,All
S12000039,2019,Count,GWh,1.858,Manufactured Fuels,Domestic
S12000039,2007,Count,GWh,602.701,Petroleum Products,All
S12000039,2016,Count,GWh,0.134,Bioenergy & Wastes,Industrial
S12000039,2008,Count,GWh,0.487,Petroleum Products,Commercial
S12000039,2005,Count,GWh,0.045,Bioenergy & Wastes,Industrial
S12000039,2006,Count,GWh,0.097,Bioenergy & Wastes,Industrial
S12000039,2019,Count,GWh,518.332,Petroleum Products,All
S12000039,2007,Count,GWh,0.036,Bioenergy & Wastes,Industrial
S12000039,2019,Count,GWh,21.512,Bioenergy & Wastes,Road Transport
S12000039,2011,Count,GWh,510.081,Petroleum Products,Road Transport
S12000039,2012,Count,GWh,13.323,Bioenergy & Wastes,Road Transport
S12000039,2014,Count,GWh,140.506,Gas,Industrial
S12000039,2006,Count,GWh,535.452,Petroleum Products,Road Transport
S12000039,2011,Count,GWh,15.056,Bioenergy & Wastes,Road Transport
S12000039,2015,Count,GWh,13.497,Bioenergy & Wastes,Road Transport
S12000039,2013,Count,GWh,15.065,Bioenergy & Wastes,Road Transport
S12000039,2018,Count,GWh,17.255,Bioenergy & Wastes,Road Transport
S12000039,2017,Count,GWh,13.017,Bioenergy & Wastes,Road Transport
S12000039,2018,Count,GWh,485.213,Petroleum Products,Road Transport
S12000039,2013,Count,GWh,542.618,Petroleum Products,All
S12000039,2017,Count,GWh,494.235,Petroleum Products,Road Transport
S12000039,2016,Count,GWh,499.169,Petroleum Products,Road Transport
S12000039,2012,Count,GWh,152.504,Gas,Industrial
S12000039,2015,Count,GWh,505.68,Petroleum Products,Road Transport
S12000039,2019,Count,GWh,467.55,Petroleum Products,Road Transport
S12000039,2015,Count,GWh,140.258,Gas,Industrial
S12000039,2014,Count,GWh,503.366,Petroleum Products,Road Transport
S12000039,2008,Count,GWh,0.432,Petroleum Products,Rail
S12000039,2005,Count,GWh,2041.064,All,All
S12000039,2013,Count,GWh,0.38,Manufactured Fuels,Industrial
S12000039,2018,Count,GWh,1594.867,All,All
S12000039,2008,Count,GWh,1936.261,All,All
S12000039,2007,Count,GWh,2010.888,All,All
S12000039,2017,Count,GWh,1629.421,All,All
S12000039,2013,Count,GWh,0.037,Bioenergy & Wastes,Industrial
S12000039,2016,Count,GWh,1635.407,All,All
S12000039,2006,Count,GWh,0.368,Petroleum Products,Rail
S12000039,2006,Count,GWh,2023.765,All,All
S12000039,2014,Count,GWh,0.447,Manufactured Fuels,Industrial
S12000039,2011,Count,GWh,1805.52,All,All
S12000039,2019,Count,GWh,0,Coal,Rail
S12000039,2012,Count,GWh,0.429,Petroleum Products,Rail
S12000039,2015,Count,GWh,1688.611,All,All
S12000039,2012,Count,GWh,1737.213,All,All
